entry_time,city,ticker,market_structure,threshold_direction,threshold,bucket_lower,bucket_upper,market_date,side,entry_price,modeled_yes_probability,modeled_side_probability,trade_edge,confidence,forecasted_high,exit_price,realized_pnl,settled
2026-04-07T13:00:08.031Z,nyc,KXHIGHNY-26APR06-T61,binary_threshold,greater,61,,,2026-04-06,NO,0.72,0.0006872021108623727,0.9993127978891376,0.24931279788913763,0.95,53,,,false
2026-04-07T13:00:08.031Z,nyc,KXHIGHNY-26APR07-T55,binary_threshold,greater,55,,,2026-04-07,YES,0.08,0.21185533859004302,0.21185533859004302,0.10185533859004302,0.7899999999999999,53,1,9.200000000000001,true
2026-04-07T13:00:08.031Z,nyc,KXHIGHNY-26APR07-T48,binary_threshold,less,48,,,2026-04-07,YES,0.01,0.9772499371127437,0.9772499371127437,0.9372499371127436,0.9999999999999999,53,0,-0.1,true
2026-04-07T13:00:08.031Z,nyc,KXHIGHNY-26APR07-B54.5,bucket_range,,,54,55,2026-04-07,NO,0.75,0.13272296906186787,0.8672770309381321,0.0872770309381321,0.8049999999999999,53,1,2.5,true
2026-04-07T13:00:08.031Z,nyc,KXHIGHNY-26APR07-B52.5,bucket_range,,,52,53,2026-04-07,NO,0.49,0.15542169284808915,0.8445783071519108,0.3245783071519108,0.7749999999999999,53,1,5.1,true
2026-04-07T14:02:03.220Z,nyc,KXHIGHNY-26APR08-T46,binary_threshold,less,46,,,2026-04-08,YES,0.07,0.9958546580101371,0.9958546580101371,0.8958546580101371,0.9999999999999999,52.6,0,-0.7000000000000001,true
2026-04-07T14:15:01.079Z,nyc,KXHIGHNY-26APR08-T53,binary_threshold,greater,53,,,2026-04-08,YES,0.11,0.43644052871797556,0.43644052871797556,0.29644052871797555,0.7,52.6,0,-1.1,true
2026-04-07T14:15:01.079Z,nyc,KXHIGHNY-26APR08-B48.5,bucket_range,,,48,49,2026-04-08,NO,0.7,0.042049685523485314,0.9579503144765147,0.2279503144765147,0.8249999999999998,52.6,1,3.0000000000000004,true
2026-04-07T14:15:01.079Z,nyc,KXHIGHNY-26APR08-B46.5,bucket_range,,,46,47,2026-04-08,NO,0.87,0.008400078737133665,0.9915999212628663,0.09159992126286631,0.7749999999999999,52.6,1,1.3,true
2026-04-07T14:17:02.613Z,nyc,KXHIGHNY-26APR08-B50.5,bucket_range,,,50,51,2026-04-08,NO,0.77,0.11191626448393754,0.8880837355160625,0.08808373551606241,0.8249999999999998,52.6,0,-7.7,true
